,0
799,11
800,1
801,1
802,11
803,1
804,2
805,2
806,9
807,5
808,1
809,11
810,10
811,1
812,5
813,10
814,1
815,5
816,9
817,9
818,2
819,1
820,1
821,4
822,1
823,1
824,1
825,2
826,9
827,11
828,1
829,1
830,1
831,1
832,2
833,5
834,0
835,5
836,5
837,1
838,1
839,1
840,1
841,9
842,1
843,1
844,3
845,1
846,9
847,5
848,9
849,1
850,5
851,1
852,9
853,1
854,5
855,1
856,11
857,1
858,0
859,9
860,0
861,1
862,1
863,9
864,1
865,1
866,0
867,1
868,1
869,5
870,1
871,5
872,1
873,11
874,1
875,11
876,1
877,1
878,9
879,11
880,9
881,1
882,9
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,4
891,1
892,1
893,1
894,1
895,4
896,1
897,1
898,1
899,1
900,1
901,1
902,0
903,1
904,1
905,1
906,4
907,5
908,1
909,1
910,5
911,4
912,2
913,10
914,1
915,9
916,5
917,3
918,1
919,5
920,2
921,1
922,5
923,1
924,9
925,1
926,1
927,11
928,2
929,1
930,5
931,1
932,1
933,5
934,1
935,2
936,1
937,1
938,1
939,5
940,1
941,2
942,11
943,1
944,1
945,0
946,10
947,1
948,1
949,9
950,9
951,11
952,1
953,1
954,9
955,1
956,11
957,1
958,4
959,1
960,1
961,9
962,5
963,9
964,8
965,5
966,1
967,1
968,9
969,1
970,2
971,1
972,1
973,5
974,1
975,1
976,1
977,1
978,1
979,10
980,1
981,9
982,9
983,2
984,1
985,11
986,1
987,1
988,5
989,1
990,1
991,1
992,9
993,1
994,1
995,1
996,1
997,5
998,1
999,1
1000,1
1001,5
1002,2
1003,1
1004,1
1005,9
1006,5
1007,5
1008,2
1009,1
1010,1
1011,1
1012,1
1013,11
1014,1
1015,2
1016,5
1017,11
1018,2
1019,1
1020,0
1021,2
1022,1
1023,9
1024,10
1025,1
1026,9
1027,1
1028,5
1029,2
1030,1
1031,1
1032,5
1033,1
1034,1
1035,11
1036,5
1037,9
1038,5
1039,5
1040,10
1041,2
1042,0
1043,9
1044,5
1045,1
1046,4
1047,1
1048,1
1049,3
1050,1
1051,1
1052,3
1053,5
1054,1
1055,1
1056,1
1057,1
1058,5
1059,1
1060,1
1061,1
1062,5
1063,2
1064,1
1065,5
1066,1
1067,1
1068,1
1069,1
1070,10
1071,1
1072,1
1073,1
1074,9
1075,1
1076,9
1077,3
1078,1
1079,9
1080,1
1081,1
1082,10
1083,8
1084,11
1085,1
1086,11
1087,1
1088,1
1089,3
1090,1
1091,1
1092,1
1093,1
1094,1
1095,9
1096,1
1097,9
1098,1
1099,1
1100,0
1101,1
1102,1
1103,1
1104,1
1105,5
1106,1
1107,11
1108,1
1109,1
1110,1
1111,9
1112,1
1113,5
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,2
1124,1
1125,1
1126,9
1127,1
1128,4
1129,1
1130,1
1131,0
1132,1
1133,2
1134,1
1135,1
1136,1
1137,1
1138,9
1139,1
1140,11
1141,1
1142,5
1143,9
1144,11
1145,1
1146,1
1147,1
1148,2
1149,2
1150,9
1151,11
1152,1
1153,1
1154,9
1155,11
1156,5
1157,9
1158,1
1159,5
1160,1
1161,5
1162,11
1163,1
1164,1
1165,11
1166,1
1167,5
1168,4
1169,5
1170,1
1171,1
1172,3
1173,10
1174,9
1175,2
1176,5
1177,4
1178,1
1179,1
1180,9
1181,4
1182,5
1183,1
1184,1
1185,3
1186,1
1187,2
1188,1
1189,10
1190,1
1191,1
1192,1
1193,11
1194,4
1195,1
1196,1
1197,9
1198,10
1199,9
1200,9
1201,9
1202,9
1203,1
1204,9
