,0,1
0,-14.8205595,15.924611
1,-10.59538,18.09822
2,-7.229972,2.1069958
3,5.3544617,14.222307
4,-3.891011,8.673905
5,-4.026499,1.6490979
6,-10.338797,10.078618
7,-7.6861906,6.7580347
8,-10.674544,10.81157
9,-6.8751793,1.0921872
10,-12.650606,9.288269
11,-5.586889,14.112062
12,-6.2687902,13.740716
13,-8.457461,9.520585
14,-12.176466,8.294314
15,-16.625597,11.785415
16,-4.149726,1.7905678
17,-4.085685,0.40153912
18,-3.690904,10.649638
19,-8.282674,16.296162
20,-11.064685,5.560147
21,-3.1476715,11.219751
22,-5.975359,13.96348
23,-6.8089514,12.513092
24,1.6868845,8.194663
25,-11.891821,11.417988
26,-0.14041355,11.15135
27,0.017797103,10.953505
28,-5.340922,19.960222
29,-9.357927,7.772423
30,-2.200077,1.9234004
31,4.848538,9.860635
32,-13.482383,13.069455
33,-12.306587,9.410009
34,-2.6668026,12.726289
35,-4.6491055,3.6882844
36,-13.196517,18.273447
37,-12.788904,9.588
38,-2.3236246,4.855034
39,4.805278,14.4272375
40,-7.8719525,6.811942
41,-3.852489,15.613362
42,5.1046023,8.980104
43,-4.8041086,7.3367996
44,-2.1729994,-0.02243928
45,-0.5110314,14.55581
46,-6.87501,13.456788
47,-8.31448,17.541382
48,-14.455063,13.368843
49,-9.771598,3.4226482
50,-12.462162,14.360867
51,5.0638576,9.003764
52,-3.5053596,-1.0367597
53,-0.10404761,3.6877184
54,-3.7236724,17.130493
55,-13.008383,7.875726
56,2.7237525,9.746251
57,-12.710304,18.614065
58,-13.75261,18.311136
59,-5.0310264,14.108054
60,-5.0522037,12.142131
61,-13.42467,10.9562435
62,-4.5752535,17.288544
63,-3.695005,1.6450918
64,-0.18075418,2.855226
65,0.78719616,10.512253
66,-3.830115,18.244282
67,-5.3329797,-0.48970821
68,-4.4756994,12.739671
69,-0.8742682,12.950172
70,-5.0857496,7.7026734
71,-8.389215,13.067154
72,-5.179394,5.7058907
73,-17.29151,9.380438
74,-15.17393,8.807424
75,-11.141858,9.644802
76,-12.441341,11.022518
77,-11.612779,9.530925
78,-13.48985,13.500766
79,-5.8996396,18.449425
80,-13.371567,13.74092
