,0
388,cyb5d1
389,si:ch211-63o20.7
390,CU104716.1
391,ube2r2
392,fbxo25
393,rpl6
394,atp1b1a
395,rnf8
396,si:ch211-199g17.9
397,fzr1a
398,katnb1
399,ndufb2
400,zc3h14
401,arl2bp
402,si:dkey-57a22.11
403,cyb5r1
404,pomp
405,fbxo36b
406,gabarapb
407,rps11
408,rpl29
409,fbxo36a
410,shisa4
411,ehd1b
412,fthl30
413,tor1
414,btbd16
415,tmem218
416,ttc25
417,ccnb1
418,rps26
419,cdk1
420,cnpy1
421,poldip3
422,pane1
423,bud31
424,ttc26
425,iqcg
426,cope
427,h1fx
428,si:dkey-199f5.3
429,si:dkey-184a18.5
430,spata22
431,ndufa8
432,si:dkey-111e8.4
433,wdr76
434,vamp3
435,txnl4a
436,fkbp1aa
437,gabarapa
438,gb:eh456644
439,si:ch211-226m16.3
440,si:dkey-19b23.7
441,ndufc2
442,dedd1
443,pnrc2
444,stmn1b
445,ccdc40
446,cfap161
447,erich2
448,si:dkey-13p1.3
449,ndufs7
450,ncbp3
451,ppil6
452,cdca7a
453,ube2v1
454,rpf1
455,arl6ip6
456,kif9
457,ribc1
458,tac3a
459,RPS17
460,ccnb3
461,u2af1
462,ppp6r2a
463,tacc3
464,adipor2
465,uqcrq
466,inka1b
467,fam228a
468,si:ch73-167f10.1
469,ran
470,cnot9
471,atp5meb
472,drc1
473,mns1
474,uba52
475,zgc:92606
476,naca
477,ptmaa
478,angel1
479,ddx5
480,zgc:153142
481,si:ch73-1a9.4
482,rpl31
483,zgc:193541
484,si:ch211-284k5.2
485,akirin1
486,ppifb
487,racgap1
488,atp5l
489,calm1a
490,psma5
491,zgc:153738
492,ccni
493,peli1b
494,si:ch211-212d10.2
495,pih1d3
496,atp1a1b
497,ccdc77
498,tdrd7a
499,CU896647.1
500,tctex1d2
501,fxyd6l
502,si:dkey-171c9.3
503,arl2
504,COX5B
505,ruvbl1
506,stpg1
507,spata6l
508,ifi45
509,cfap206
510,gmppaa
511,zswim2
512,zgc:193811
513,wdr34
